Date,Total_Cases,Total_New_Cases_LA,Num_of_deaths_LA,Num_of_recoveries_LA,Total_Cases_California,New_Cases_California,Total_Cases_SanFrancisco,Total_Cases_WestHollywood,New_Cases_WestHollywood,Total_Cases_BeverlyHills,New_Cases_BeverlyHills
03/19/20,231,41,1,NaN,,,,12,1,4,0
03/18/20,190,46,0,NaN,,,,11,3,4,2
03/17/20,144,50,0,NaN,,,,8,3,2,1
03/16/20,94,25,0,NaN,,,,5,5,1,1
03/15/20,69,16,0,NaN,,,,NaN,Nan,NaN,NaN
03/14/20,53,13,0,NaN,,,,NaN,Nan,NaN,NaN
03/13/20,40,8,0,NaN,,,,NaN,Nan,NaN,NaN
03/12/20,32,5,0,NaN,,,,NaN,Nan,NaN,NaN
03/11/20,27,7,1,NaN,,,,NaN,Nan,NaN,NaN
03/10/20,20,4,0,NaN,,,,NaN,Nan,NaN,NaN
03/09/20,16,2,0,NaN,,,,NaN,Nan,NaN,NaN
03/08/20,14,0,0,NaN,,,,NaN,Nan,NaN,NaN
03/07/20,14,1,0,NaN,,,,NaN,Nan,NaN,NaN
03/06/20,13,2,0,NaN,,,,NaN,Nan,NaN,NaN
03/05/20,11,4,0,NaN,,,,NaN,Nan,NaN,NaN
03/04/20,7,0,0,NaN,,,,NaN,Nan,NaN,NaN
